Абрикос Apricot 
Кресло Armchair 
Кричать Shout 
Кровать Bed 
Кроссовки Sneakers 
Круг Circle 
Кружка Mug 
Крыса Rat 
Крыша Roof 
Кто Who 
Куда Where 
Кукуруза Corn 
Купить Buy 
Курить Smoke 
Курица Chicken 
Куртка Jacket 
Кусок Piece 
Кухня Kitchen 
Кушать Eat 
Ладонь Palm 
Лампа Lamp 
Лежать Lie 
Ленивый Lazy 
Лес Forest 
Лестница Ladder 
Летать Fly 
Лето Summer 
Лечить Treat 
Лимон Lemon 
Линейка Ruler 
Лиса Fox 
Лист List 
Лицо Face 
Лоб Forehead 
Лодыжка Ankle 
Ложка Spoon 
Локоть Elbow 
Лопата Shovel 
Лосось Salmon 
Лошадь Horse 
Лук Onion 
Луна Moon 
Лучше Better 
Любить Love 
Любовь Love 
Любой Any 
Люди People 
Люстра Chandelier 
Лягушка Frog 
Магазин Shop 
Май May 
Майка T-shirt 
Макароны Pasta 
Маленький Small 
Малина Raspberry 
Мало Few 
Мальчик Boy 
Мама Mama 
Манго Mango 
Мандарин Mandarin 
Март March 
Маршрут Route 
Масло Oil 
Мать Mother 
Машина Machine 
Медведь Bear 
Между Between 
Менеджер Manager 
Место Place 
Месяц Month 
Метро Metro 
Меч Sword 
Мечта Dream 
Милый Darling 
Мир World 
Много Many 
Мой My 
Молоко Milk 
Молоток Hammer 
Монитор Monitor 
Море Sea 
Морковь Carrots 
Москва Moscow 
Мост Bridge 
Мочь Be able to 
Муж Husband 
Мужчина Man 
Музыка Music 
Музыкант Musician 
Мука Flour 
Мусор Trash 
Муха Fly 
Мы We 
Мыло Soap 
Мысль Thought 
Мышь Mouse 
Мягкий Soft 
Мясо Meat 
Мяч Ball 
На At 
Надежда Hope 
Надежность Reliability 
Назад Back 
Наказание Punishment 
Налево Left 
Намереваться Intend 
Напоминать Remind 
Направо Right 
Наслаждаться Enjoy 
Насос Pump 
Наука Science 
Наушники Headphones 
Находить Find 
Начальник Head 
Начинать Begin 
Небо Sky 
Невероятно Unbelievable 
Неделя Week 
Нежность Tenderness 
Некоторый Some 
Немного Some 
Ненавидеть Hate 
Необходимость Necessity 
Неправильно Wrong 
Несколько Several 
Несчастный Unhappy 
Нет No 
Неуклюжий Clumsy 
Никогда Never 
Ничего Nothing 
Но But 
Новый New 
Нога Leg 
Ноготь Nail 
Нож Knife 
Ножницы Scissors 
Нос Nose 
Носить Wear 
Носок Sock 
Ноутбук Notebook 
Ночь Night 
Ноябрь November 
Нравиться Like 
О About 
Обед Lunch 
Обезьяна Monkey 
Обеспечивать Provide 
Облако Cloud 
Обман Deception 
Обманывать Deceive 
Обстоятельство Circumstance 
Обувь Shoes 
Объяснять Explain 
Обычно Usually 
Обязательство Obligation 
Овощи Vegetables 
Огонь Fire 
Огромный Huge 
Огурец Cucumber 
Одевать Dress 
Одежда Clothing 
Одеяло Blanket 
Один One 
Одиннадцать Eleven 
Однако However 
Ожидать Expect 
Озеро Lake 
Окно Window 
Около Near 
Октябрь October 
Он He 
Она She 
Они They 
Оно It 
Опасность Danger 
Описывать Describe 
Определенный Certain 
Опыт Experience 
Оранжевый Orange 
Осень Autumn 
Особенно Especially 
Особенность Feature 
Оставаться Remain 
Оставить To leave 
Оставлять Leave 
Остановка Stop 
Остров Island 
Острый Acute 
Остыть Cool 
Осуществлять Exercise 
Ответ Answer 
Ответственность Responsibility 
Ответственный Responsible 
Отвечать Answer 
Отдельный Separate 
Отдых Recreation 
Отдыхать Rest 
Отец Father 
Откладывать Delay 
Открывать Open 
Открыто Open 
Отлично Excellent 
Отношение Ratio 
Отпуск Vacation 
Отрицать Deny 
Офис Office 
Официант Waiter 
Оценка Assessment 
Очарование Charm 
Очевидно Obviously 
Очень Very 
Очки Glasses 
Ошибка Error 
Падать Fall 
Пакет Package 
Палец Finger 
Палка Stick 
Пальто Coat 
Память Memory 
Папа Dad 
Папка Folder 
Пара Pair 
Парень Guy 
Паспорт Passport 
Пепельница Ashtray 
Первый First 
Переговоры Negotiations 
Перец Pepper 
Персик Peach 
Песня Song 
Песок Sand 
Петрушка Parsley 
Петь Sing 
Печенье Cookies 
Печь Furnace 
Пиво Beer 
Пиджак Coat 
Пирог Pie 
Писать Write 
Письмо Letter 
Пить Drink 
Плавать Swim 
Плакать Cry 
Платить Pay 
Платье Dress 
Племянник Nephew 
Племянница Niece 
Плечо Shoulder 
Плита Plate 
Плохо Poorly 
Плохой Bad 
Площадь Area 
Пляж Beach 
Поведение Behavior 
Поверхность Surface 
Поворот Turn 
Повышение Increase 
Погода Weather 
Под Under 
Подарок Gift 
Подбородок Chin 
Поддерживать Support 
Поддержка Support 
Поднимать Lift 
Подниматься Up 
Подоконник Sill 
Подушка Pillow 
Подход Approach 
Подходящий Appropriate 
Поезд Train 
Поездка Trip 
Пожалуйста Please 
Пока While 
Показывать Show 
Покрывало Cover 
Покупать Buy 
Пол Floor 
Полагать Believe 
Поле Field 
Полезный Useful 
Полка Shelf 
Полотенце Towel 
Получать Receive 
Польза Benefit 
Помидор Tomato 
Помнить Remember 
Помощь Help 
Понедельник Monday 
Понимать Understand 
Поощрять Encourage 
Попытка Attempt 
Порог Threshold 
Порядок Order 
Посещать Visit 
После After 
Потолок Ceiling 
Потом Then 
Потребление Consumption 
Почему Why 
Почта Mail 
Почти Nearly 
Поэтому So 
Появляться Emerge 
Право Right 
Праздник Holiday 
Предлагать Offer 
Предложение Sentence 
Предплечье Forearm 
Предприятие Company 
Представлять Represent 
Преимущество Advantage 
Прекрасный Beautiful 
Приблизительно About 
Прибыль Profit 
Привет Hi 
Привлекательный Attractive 
Привычка Habit 
Приглашение Invitation 
Признавать Confess 
Принимать Take 
Приносить Bring 
Принтер Printer 
Приобретать Acquire 
Приобретение Acquisition 
Приходить Come 
Причина Reason 
Приятный Nice 
Проверка Check 
Провод Wire 
Проводить Conduct 
Продвижение Promotion 
Происходить Be 
Просто Just 
Простой Simple 
Простыня Sheet 
Просыпаться Wake up 
Противный Nasty 
Прощать Forgive 
Прыгать Jump 
Прямо Straight 
Птица Bird 
Пульт Panel 
Путешествие Travel 
Путь Path 
Пятка Heel 
Пятнадцать Fifteen 
Пятница Friday 
Пять Five 
Пятьдесят Fifty 
Работа Work 
Работать Work 
Радость Joy 
Развитие Development 
Разговаривать Talk 
Разговор Conversation 
Разрешение Permission 
Разрушать Destroy 
Раковина Sink 
Рано Early 
Рассвет Dawn 
Рассматривать Consider 
Расческа Comb 
Ребенок Child 
Редко Rarely 
Резать Cut 
Река River 
Реклама Advertising 
Ремень Belt 
Ресторан Restaurant 
Решать Decide 
Решающий Crucial 
Решение Solution 
Решить Solve 
Рис Rice 
Рисовать Draw 
Родитель Parent 
Роза Rose 
Розетка Socket 
Розовый Pink 
Рот Mouth 
Рубашка Shirt 
Рука Hand 
Руль Steering wheel 
Ручка Handle 
Рыба Fish 
Рынок Market 
Рюкзак Backpack 
С With 
Салат Salad 
Салфетка Napkin 
Самолет Plane 
Сапог Boot 
Сахар Sugar 
Свекла Beet 
Свет Light 
Свинина Pork 
Свинья Pig 
Свитер Sweater 
Связь Link 
Сделка Bargain 
Сегодня Today 
Сейчас Now 
Сельдерей Celery 
Семнадцать Seventeen 
Семь Seven 
Семья Family 
Сентябрь September 
Сердитый Angry 
Сердце Heart 
Серый Gray 
Сестра Sister 
Сидеть Sit 
Сила Force 
Сильный Strong 
Синий Blue 
Скатерть Tablecloth 
Скидка Discount 
Сковорода Frying pan 
Сколько How many 
Скорее Rather 
Скоро Soon 
Скорость Speed 
Слабый Weak 
Сладкий Sweet 
Следствие Consequence 
Слива Plum 
Сливки Cream 
Словарь Dictionary 
Слово Word 
Сложный Complex 
Слон Elephant 
Случай Case 
Слушать Listen 
Слышать Hear 
Смерть Death 
Смеяться Laugh 
Смотреть Watch 
Смысл Meaning 
Снег Snow 
Снижение Reduction 
Снова Again 
Собака Dog 
Собственный Own 
Совершенствовать Improve 
Совет Advice 
Согласный Willing 
Соглашаться Agree 
Соглашение Agreement 
Сожаление Regret 
Сок Juice 
Солнце Sun 
Соль Salt 
Сон Sleep 
Соответствовать Match 
Соперник Rival 
Сосед Neighbor 
Соус Sauce 
Спальня Bedroom 
Спаржа Asparagus 
Спасибо Thank you 
Спать Sleep 
Спина Back 
Список List 
Спокойствие Calm 
Спорить Argue 
Способность Ability 
Спрашивать Ask 
Спрос Demand 
Среда Wednesday 
Среди Among 
Средство Means 
Срок Time 
Стакан Glass 
Становиться Get 
Старый Old 
Ствол Trunk 
Стекло Glass 
Стена Wall 
Стоимость Value 
Стол Table 
Столб Column 
Стоять Stand 
Страна Country 
Страница Page 
Странный Strange 
Страсть Passion 
Страх Fear 
Строительство Building 
Строить Build 
Студент Student 
Стул Chair 
Ступня Foot 
Суббота Saturday 
Сумка Bag 
Суп Soup 
Суровый Severe 
Счастливо Happily 
Счастливый Happy 
Счастье Happiness 
Счет Account 
Считать Assume 
Сын Son 
Сыр Cheese 
Так So 
Также Also 
Такси Taxi 
Там There 
Таможня Customs 
Тарелка Plate 
Твой Your 
Творог Cheese 
Телевизор Tv 
Телефон Phone 
Тело Body 
Телятина Veal 
Теплый Warm 
Тест Test 
Тетрадь Notebook 
Тихий Quiet 
Товар Product 
Толстый Thick 
Только Only 
Тонкий Thin 
Торт Cake 
Тот That 
Точно Exactly 
Трава Grass 
Трамвай Tram 
Требовать Demand 
Три Three 
Тринадцать Thirteen 
Тротуар Sidewalk 
Труба Pipe 
Трусы Briefs 
Туалет Wc 
Тупой Blunt 
Туфля Shoe 
Ты You 
Тыква Pumpkin 
Тяжелый Heavy 
Тётя Aunt 
Убеждать Persuade 
Удаление Removal 
Удар Strike 
Удивительный Amazing 
Удивляться Wonder 
Удобный Convenient 
Удовольствие Pleasure 
Ужасный Horrible 
Уже Already 
Ужин Dinner 
Узкий Narrow 
Укроп Dill 
Улица Street 
Уменьшать Reduce 
Умный Intelligent 
Умолять Plead 
Университет University 
Урок Lesson 
Ус Mustache 
Усилие Effort 
Успех Success 
Уставать Tire 
Утверждать Claim 
Утверждение Approval 
Утка Duck 
Утро Morning 
Утюг Iron 
Ухо Ear 
Уходить Go 
Ученик Pupil 
Учитель Teacher 
Учить Teach 
Учиться Learn 
Фамилия Last name 
Февраль February 
Фиолетовый Purple 
Фонарь Lantern 
Фотоаппарат Camera 
Фотография Photo 
Фрукт Fruit 
Фрукты Fruit 
Футболка T-shirt 
Хлеб Bread 
Ходить Walk 
Холодильник Refrigerator 
Холодно Coldly 
Холодный Cold 
Хороший Good 
Хорошо Well 
Хотеть Want 
Хотя Although 
Художник Artist 
Цвет Color 
Цветок Flower 
Цель Goal 
Цена Price 
Ценить Appreciate 
Чаевые Tips 
Чай Tea 
Чайник Kettle 
Час Hour 
Часто Often 
Часы Clock 
Чашка Cup 
Человек Man 
Чемодан Suitcase 
Через Through 
Черешня Sweet cherry 
Черника Blueberries 
Черный Black 
Чеснок Garlic 
Честный Honest 
Четверг Thursday 
Четыре Four 
Четырнадцать Fourteen 
Чистый Clean 
Читать Read 
Что What 
Чувствовать Feel 
Чудо Miracle 
Шапка Cap 
Шарф Scarf 
Шесть Six 
Шея Neck 
Широкий Wide 
Шкаф Cabinet 
Школа School 
Шляпа Hat 
Шоколад Chocolate 
Шорты Shorts 
Штаны Pants 
Штора Blind 
Шумный Noisy 
Щека Cheek 
Экран Screen 
Этаж Floor 
Это It 
Этот This 
Юбка Skirt 
Юрист Lawyer 
Я I 
Яблоко Apple 
Ягода Berry 
Язык Language 
Яйцо Egg 
Январь January 
Яростный Furious 
Ящик Box 
Акцент Accent              
Аренда Rent 
Архитектор Architect 
Бабочка Butterfly 
Базилик Basil 
Баловать Indulge 
Банкомат Atm 
Бар Bar 
Барабан Drum  
Бассейн Pool 
Батарейка Battery 
Башня Tower 
Бегемот Behemoth 
Бегло Fluently 
Бедствие Disaster 
Безопасный Safe 
Береза Birch 
Бесплатно Free 
Бесполезный Useless 
Бетон Concrete 
Библиотека Library 
Бизнес Business 
Бирюзовый Turquoise 
Бить Beat 
Блеск Shine 
Блузка Blouse 
Боб Bean 
Бог God 
Болеть Ache 
Болото Swamp 
Болтовня Chatter 
Больной Patient 
Бордюр Border 
Браслет Bracelet 
Бритва Razor 
Брусника Cowberry 
Будущее Future 
Булочка Roll 
Бумажник Wallet 
Бухгалтерия Accounting 
Бык Bull 
Быстрый Quick 
Бюстгальтер Bra 
Важный Important 
Ваза Vase 
Ванна Bath 
Ванная Bathroom 
Ваш Your 
Вводить Enter 
Вдохновение Inspiration 
Вездесущий Ubiquitous 
Веко Eyelid 
Великолепный Great 
Вентилятор Fan 
Верх Top 
Ветка Branch 
Вешалка Hanger 
Вешать Hang 
Вещи Things 
Взаимный Mutual 
Взволнованный Agitated 
Взлетать Blast off 
Взрыв Explosion 
Видимый Apparent 
Виски Whiskey 
Висок Temple 
Вклад Contribution 
Вкус Taste 
Влажный Wet 
Власть Power 
Вмешательство Intervention 
Внезапно Suddenly 
Внезапный Sudden 
Вниз Down 
Внутренний Internal 
Водитель Driver 
Водка Vodka 
Возмещение Compensation 
Возникать Arise 
Возражать Object 
Война War 
Волна Wave 
Волноваться Worry 
Волос Hair 
Ворона Crow 
Ворота Gate 
Воспитывать Bring up 
Восторг Delight 
Восторженный Enthusiastic 
Впереди Ahead 
Вполне Quite 
Враг Enemy 
Враждебный Hostile 
Врач Doctor 
Вред Damage 
Вредный Harmful 
Вспоминать Remember 
Вспышка Flash 
Встречать Meet 
Второй Second 
Входить Enter 
Выгода Benefit 
Выдающийся Outstanding 
Вынуждать Force 
Выражать Express 
Выразительный Expressive 
Вырезать Cut 
Высота Height 
Выставка Exhibition 
Выходить Go out 
Выяснять Find out 
Вялый Sluggish 
Газ Gas 
Гараж Garage 
Гардероб Wardrobe 
Гвоздь Nail 
Германия Germany 
Главный Chief 
Глубокий Deep 
Глупость Stupidity 
Гнев Anger 
Голос Vote 
Голосовать Vote 
Голубь Pigeon 
Гордый Proud 
Горничная Maid 
Горчица Mustard 
Горшок Pot 
Гостиная Lounge 
Гостиница Hotel 
Готовить Cook 
Грабитель Robber 
Гриб Mushroom 
Гроза Storm 
Гром Thunder 
Громко Loudly 
Грузовик Truck 
Грызть Gnaw 
Грязь Dirt 
Давно Long ago 
Данные Data 
Дарить Give 
Двигатель Engine 
Девяносто Ninety 
Действие Action 
Дельфин Dolphin 
Десерт Dessert 
Дефицит Deficit 
Деятельность Activities 
Дизайн Design 
Директор Director 
Дневник Diary 
Догадываться Guess 
Доказательство Proof 
Доказывать Prove 
Документ Document 
Долг Debt 
Доля Share 
Домкрат Jack 
Домой Home 
Дополнять Complement 
Доставка Delivery 
Доставлять Deliver 
Достаточный Sufficient 
Достоинство Virtue 
Достопримечательность Attractions 
Доступ Access 
Доступность Availability 
Доступный Available 
Доход Income 
Драка Fight 
Дружба Friendship 
Дружественный Friendly 
Дурак Fool 
Дуршлаг Colander 
Духовка Oven 
Дыхание Breath 
Дышать Breathe 
Единственный Only 
Енот Raccoon 
Жаба Toad 
Жадный Greedy 
Жажда Thirst 
Жаждущий Hungry 
Жара Heat 
Жареный Roasted 
Жарить Fry 
Желать Wish 
Женатый Married 
Жертва Victim 
Жест Gesture 
Жестокий Severe 
Живой Living 
Жилет Vest 
Жилье Housing 
Жук Beetle 
Забавный Funny 
Заботиться Care 
Забрать Take 
Заброшенный Abandoned 
Зависть Envy 
Завод Plant 
Завтракать Breakfast 
Загадка Riddle 
Задание Job 
Задержка Delay 
Зажигалка Lighter 
Заимствовать Borrow 
Заказ Order 
Заканчивать Finish 
Заключение Conclusion 
Залив Bay 
Залог Bail 
Замок Lock 
Занавес Curtain 
Запутанный Complicated 
Заслуживать Deserve 
Затем Then 
Затылок Back of the head 
Захватывающий Exciting 
Звезда Star 
Звонок Bell 
Земляника Strawberry 
Злиться Be angry 
Злоупотребление Abuse 
Змея Snake 
Знак Sign 
Знания Knowledge 
Значение Meaning 
Значительный Significant 
Золото Gold 
Зонт Umbrella 
Зрение Vision 
Игрушка Toy 
Идиот Idiot 
Из From 
Извиняться Apologize 
Изгиб Bend 
Изобилие Abundance 
Икра Roe 
Имущество Property 
Индейка Turkey 
Иностранный Foreign 
Инструмент Tool 
Интеллект Intelligence 
Интересный Interesting 
Ипотека Mortgage 
Иск Claim 
Искренний Sincere 
Искусственный Artificial 
Искушение Temptation 
Использование Use 
Использовать Use 
Испуганный Frightened 
История History 
Исчерпанный Depleted 
К To 
Каблук Heel 
Каждый Each 
Казаться Seem 
Какао Cocoa 
Каламбур Pun 
Камера Camera 
Каникулы Vacation 
Карман Pocket 
Кашель Cough 
Кепка Cap 
Киска Pussy 
Кит Whale 
Клюква Cranberry 
Клён Maple 
Кнопка Button 
Коврик Mat 
Кожа Skin 
Коза Goat 
Кокос Coconut 
Колонка Column 
Команда Team 
Конвенция Convention 
Конверт Envelope 
Кондиционер Air conditioner 
Конец End 
Конкурент Competitor 
Конкуренция Competition 
Конкурс Competition 
Конь Horse 
Коньяк Brandy 
Копать Dig 
Копить Save 
Корзина Basket 
Корица Cinnamon 
Кормить Feed 
Котлета Cutlet 
Который Which 
Котёнок Kitten 
Кошмар Nightmare 
Кража Theft 
Краска Paint 
Креветка Shrimp 
Кредит Credit 
Крепление Mount 
Кривой Crooked 
Крик Shout 
Кровь Blood 
Крокодил Crocodile 
Кролик Rabbit 
Кружево Lace 
Крыжовник Gooseberry 
Крыло Wing 
Крыльцо Porch 
Кувшин Pitcher 
Кукла Doll 
Кулак Fist 
Культура Culture 
Курорт Resort 
Курс Rate 
Куст Bush 
Лак Varnish 
Ласковый Tender 
Ласточка Swallow 
Лаять Bark 
Лев Lion 
Легкий Easy 
Легко Easy 
Лень Laziness 
Лечение Treatment 
Ли Whether 
Ливень Rainfall 
Лимонад Lemonade 
Лить Pour 
Лифт Elevator 
Ловить Catch 
Ловушка Trap 
Лодка Boat 
Ложь Lie 
Ломать Break 
Лось Elk 
Лужа Pool 
Лучший Best 
Лыжи Skis 
Лысый Bald 
Любимый Favorite 
Любительский Amateur 
Любопытство Curiosity 
Лёгкие Lungs 
Лёд Ice 
Масштаб Scale 
Мед Honey 
Медленно Slowly 
Меньше Less 
Менять Change 
Мех Fur 
Мечтать Dream 
Мешать Interfere 
Милая Dear 
Минута Minute 
Миска Bowl 
Младший Younger 
Множественный Multiple 
Множество Many 
Могила Grave 
Мода Fashion 
Можно Can 
Мозг Brain 
Молния Lightning 
Молодец Well done 
Молодой Young 
Монета Coin 
Морепродукты Seafood 
Мороженое Ice cream 
Мошенничество Fraud 
Мрачный Dark 
Мудрость Wisdom 
Мудрый Wise 
Музей Museum 
Муравей Ant 
Мыть Wash 
Наблюдать Watch 
Набор Set 
Наволочка Pillowcase 
Навсегда Forever 
Навык Skill 
Навязчивый Intrusive 
Над Over 
Надевать Put on 
Надежный Reliable 
Надеяться Hope 
Надоело Fed up 
Назначать Appoint 
Назначение Appointment 
Называться Be called 
Наиболее Most 
Найти To find 
Наказывать Punish 
Наличные Cash 
Налог Tax 
Наоборот On the contrary 
Напиток Beverage 
Направление Direction 
Напряжение Voltage 
Наречие Adverb 
Нарушать Break 
Насилие Violence 
Насморк Running nose 
Настаивать Insist 
Настойчивость Persistence 
Настроение Mood 
Наступление Offensive 
Начало Start 
Не Not 
Невероятный Incredible 
Недвижимость Real estate 
Недостаток Shortcoming 
Нежелание Reluctance 
Независимый Independent 
Неизбежный Inevitable 
Немецкий German 
Ненависть Hatred 
Неохотно Reluctantly 
Непристойный Obscene 
Несомненно No doubt 
Нести Bear 
Нетерпеливый Impatient 
Нефть Oil 
Низ Bottom 
Низкий Low 
Никто No one 
Ноздря Nostril 
Нуждаться Need 
Нюхать Sniff 
Оба Both 
Обвинять Blame 
Обдумывать Think 
Обещать Promise 
Область Area 
Обнимать Hug 
Обожать Adore 
Обои Wallpaper 
Оборудование Equipment 
Образец Sample 
Образование Education 
Обращение Treatment 
Обстоятельства Circumstances 
Общение Communication 
Общество Society 
Объявление Ad 
Объявлять Declare 
Объяснение Explanation 
Обязательный Obligatory 
Овощ Vegetable 
Овца Sheep 
Огород Garden 
Ограничение Restriction 
Одалживать Lend 
Одинокий Single 
Ожидание Expectation 
Означать Mean 
Океан Ocean 
Окружать Surround 
Окунь Perch 
Олень Deer 
Омлет Omelette 
Опаздывать Be late 
Описание Description 
Оплата Payment 
Определенно Definitely 
Определять Determine 
Орех Nut 
Оружие Weapon 
Осина Aspen 
Оскал Grin 
Основа Basis 
Основной Primary 
Особый Special 
Остальной Rest 
Остановить Stop 
От From 
Отвратительный Disgusting 
Отвёртка Screwdriver 
Отель Hotel 
Отказ Failure 
Отказываться Refuse 
Открытка Postcard 
Открыть Open 
Откуда Whence 
Отличать Distinguish 
Отправка Dispatch 
Отправлять Send 
Отражать Reflect 
Отсутствие Absence 
Отсюда Hence 
Охота Hunting 
Оценивать Assess 
Очаровывать Charm 
Очевидный Obvious 
Очередь Turn 
Падение Drop 
Палатка Tent 
Пальма Palm 
Пар Steam 
Парикмахер Hairdresser 
Парк Park 
Парковка Parking 
Паром Ferry 
Пачка Pack 
Перевод Translation 
Перед Before 
Передача Transmission 
Перекресток Intersection 
Перелом Fracture 
Перерыв Break 
Пересекать Cross 
Переход Transition 
Перо Feather 
Персонал Staff 
Перчатки Gloves 
Петух Cock 
Печаль Sadness 
Печень Liver 
Пешеход Pedestrian 
Пешком On foot 
Пижама Pajamas 
Пила Saw 
Писатель Writer 
Пистолет Pistol 
Питание Food 
Пицца Pizza 
План Plan 
Планета Planet 
Плед Plaid 
