act to	разыгрывать
Глупый Stupid
Говорить Say
Говядина Beef
Год Year
Голень Shin
Голова Head
Голодный Hungry
Голубой Blue
Гора Mountain
Город City
Горох Peas
Горький Bitter
Горячий Hot
Гость Guest
Граница Border
Грейпфрут Grapefruit
Гречка Buckwheat
Грубый Rough
Грудь Chest
Грустный Sad
Груша Pear
Грязный Dirty
Губы Lips
Гулять Walk
Гусь Goose
Да Yes
Давать Give
Даже Even
Далеко Far
Два Two
Двадцать Twenty
Двенадцать Twelve
Дверь Door
Движение Motion
Двор Yard
Девочка Girl
Девушка Girl
Девятнадцать Nineteen
Девять Nine
Дедушка Grandfather
Действительно Really
Декабрь December
Делать Make
Дело Case
День Day
Деньги Money
Деревня Village
Дерево Tree
Держать Hold
Десять Ten
Дети Children
Дешево Cheap
Дешевый Cheap
Джинсы Jeans
Диван Sofa
Длина Length
Длинный Long
Для For
До To
Добрый Good
Доверие Confidence
Договор Contract
Дождь Rain
Должен Should
Дом Home
Допускать Permit
Дорога Road
Дорогой Expensive
Доска Board
Достаточно Enough
Достигать Achieve
Достижение Achievement
Дочь Daughter
Друг Friend
Другой Other
Дуб Oak
Думать Think
Душ Shower
Душа Soul
Дым Smoke
Дыня Melon
Дядя Uncle
Еда Food
Ежевика Blackberry
Ель Spruce
Если If
Есть There is
Ехать Go
Еще More
Жаловаться Complain
Жарко Hot
Ждать Wait
Желание Wish
Желтый Yellow
Желудок Stomach
Жена Wife
Женщина Woman
Жесткий Hard
Живот Stomach
Животное Animal
Жизнь Life
Жир Fat
Жираф Giraffe
Жить Live
Журнал Journal
Журналист Journalist
За Behind
Забор Fence
Забывать Forget
Завтра Tomorrow
Завтрак Breakfast
Задача Task
Заказывать Order
Закат Sunset
Закрывать Close
Зал Hall
Занавеска Curtain
Заниматься Do
Запах Odor
Запрос Request
Запястье Wrist
Застенчивый Shy
Захват Capture
Зачем Why
Заявление Statement
Заяц Hare
Здание Building
Здесь Here
Здоровье Health
Здравствуй Hi
Зеленый Green
Земля Land
Зеркало Mirror
Зерно Grain
Зима Winter
Злой Evil
Знакомство Familiarity
Знание Knowledge
Знать Know
Зуб Tooth
И And
Игра Game
Играть Play
Идти Go
Из-за Because of
Избегать Avoid
Извинять Excuse
Изучать Study
Или Or
Иметь Have
Имя Name
Инженер Engineer
Иногда Sometimes
Искать Search
Искусство Art
Исследование Research
Исчезать Vanish
Июль July
Июнь June
Йогурт Yogurt
Кабачок Squash
Кабинет Cabinet
Как How
Какой What
Календарь Calendar
Калькулятор Calculator
Камень Stone
Капот Hood
Капуста Cabbage
Карандаш Pencil
Картина Picture
Картофель Potatoes
Касса Cash
Кастрюля Pan
Кафе Cafe
Каша Porridge
Квартира Apartment
Киви Kiwi
Кино Movie
Кислый Sour
Кисть Brush
Клавиатура Keyboard
Класть Put
Клиент Client
Клубника Strawberries
Ключ Key
Книга Book
Ковер Carpet
Когда When
Колбаса Sausage
Колготки Pantyhose
Колено Knee
Колесо Wheel
Количество Number
Коллега Colleague
Кольцо Ring
Комната Room
Компьютер Computer
Конечно Certainly
Конфета Sweet
Корабль Ship
Коричневый Brown
Коробка Box
Корова Cow
Короткий Short
Кость Bone
Костюм Suit
Кот Cat
Кофе Coffee
Кофта Blouse
Кошелек Purse
Кошка Cat
Край Edge
Кран Tap
Красивый Beautiful
Красный Red
Красота Beauty
Кресло Armchair
Кричать Shout
Кровать Bed
Кроссовки Sneakers
Круг Circle
Кружка Mug
Крыса Rat
Крыша Roof
Кто Who
Куда Where
Кукуруза Corn
Купить Buy
Курить Smoke
Курица Chicken
Куртка Jacket
Кусок Piece
Кухня Kitchen
Кушать Eat
Ладонь Palm
Лампа Lamp
Лежать Lie
Ленивый Lazy
Лес Forest
Лестница Ladder
Летать Fly
Лето Summer
Лечить Treat
Лимон Lemon
Линейка Ruler
Лиса Fox
Лист List
Лицо Face
Лоб Forehead
Лодыжка Ankle
Ложка Spoon
Локоть Elbow
Лопата Shovel
Лосось Salmon
Лошадь Horse
Лук Onion
Луна Moon
Лучше Better
Любить Love
Любовь Love
Любой Any
Люди People
Люстра Chandelier
Лягушка Frog
Магазин Shop
Май May
Майка T-shirt
Макароны Pasta
Маленький Small
Малина Raspberry
Мало Few
Мальчик Boy
Мама Mama
Манго Mango
Мандарин Mandarin
Март March
Маршрут Route
Масло Oil
Мать Mother
Машина Machine
Медведь Bear
Между Between
Менеджер Manager
Место Place
Месяц Month
Метро Metro
Меч Sword
Мечта Dream
Милый Darling
Мир World
Много Many
Мой My
Молоко Milk
Молоток Hammer
Монитор Monitor
Море Sea
Морковь Carrots
Москва Moscow
Мост Bridge
Мочь Be able to
Муж Husband
Мужчина Man
Музыка Music
Музыкант Musician
Мука Flour
Мусор Trash
Муха Fly
Мы We
Мыло Soap
Мысль Thought
Мышь Mouse
Мягкий Soft
Мясо Meat
Мяч Ball
На At
Надежда Hope
Надежность Reliability
Назад Back
Наказание Punishment
Налево Left
Намереваться Intend
Напоминать Remind
Направо Right
Наслаждаться Enjoy
Насос Pump
Наука Science
Наушники Headphones
Находить Find
Начальник Head
Начинать Begin
Небо Sky
Невероятно Unbelievable
Неделя Week
Нежность Tenderness
Некоторый Some
Немного Some
Ненавидеть Hate
Необходимость Necessity
Неправильно Wrong
Несколько Several
Несчастный Unhappy
Нет No
Неуклюжий Clumsy
Никогда Never
Ничего Nothing
Но But
Новый New
Нога Leg
Ноготь Nail
Нож Knife
Ножницы Scissors
Нос Nose
Носить Wear
Носок Sock
Ноутбук Notebook
Ночь Night
Ноябрь November
Нравиться Like
О About
Обед Lunch
Обезьяна Monkey
Обеспечивать Provide
Облако Cloud
Обман Deception
Обманывать Deceive
Обстоятельство Circumstance
Обувь Shoes
Объяснять Explain
Обычно Usually
Обязательство Obligation
Овощи Vegetables
Огонь Fire
Огромный Huge
Огурец Cucumber
Одевать Dress
Одежда Clothing
Одеяло Blanket
Один One
Одиннадцать Eleven
Однако However
Ожидать Expect
Озеро Lake
Окно Window
Около Near
Октябрь October
Он He
Она She
Они They
Оно It
Опасность Danger
Описывать Describe
Определенный Certain
Опыт Experience
Оранжевый Orange
Осень Autumn
Особенно Especially
Особенность Feature
Оставаться Remain
Оставить To leave
Оставлять Leave
Остановка Stop
Остров Island
Острый Acute
Остыть Cool
Осуществлять Exercise
Ответ Answer
Ответственность Responsibility
Ответственный Responsible
Отвечать Answer
Отдельный Separate
Отдых Recreation
Отдыхать Rest
Отец Father
Откладывать Delay
Открывать Open
Открыто Open
Отлично Excellent
Отношение Ratio
Отпуск Vacation
Отрицать Deny
Офис Office
Официант Waiter
Оценка Assessment
Очарование Charm
Очевидно Obviously
Очень Very
Очки Glasses
Ошибка Error
Падать Fall
Пакет Package
Палец Finger
Палка Stick
Пальто Coat
Память Memory
Папа Dad
Папка Folder
Пара Pair
Парень Guy
Паспорт Passport
Пепельница Ashtray
Первый First
Переговоры Negotiations
Перец Pepper
Персик Peach
Песня Song
Песок Sand
Петрушка Parsley
Петь Sing
Печенье Cookies
Печь Furnace
Пиво Beer
Пиджак Coat
Пирог Pie
Писать Write
Письмо Letter
Пить Drink
Плавать Swim
Плакать Cry
Платить Pay
Платье Dress
Племянник Nephew
Племянница Niece
Плечо Shoulder
Плита Plate
Плохо Poorly
Плохой Bad
Площадь Area
Пляж Beach
Поведение Behavior
Поверхность Surface
Поворот Turn
Повышение Increase
Погода Weather
Под Under
Подарок Gift
Подбородок Chin
Поддерживать Support
Поддержка Support
Поднимать Lift
Подниматься Up
Подоконник Sill
Подушка Pillow
Подход Approach
Подходящий Appropriate
Поезд Train
Поездка Trip
Пожалуйста Please
Пока While
Показывать Show
Покрывало Cover
Покупать Buy
Пол Floor
Полагать Believe
Поле Field
Полезный Useful
Полка Shelf
Полотенце Towel
Получать Receive
Польза Benefit
Помидор Tomato
Помнить Remember
Помощь Help
Понедельник Monday
Понимать Understand
Поощрять Encourage
Попытка Attempt
Порог Threshold
Порядок Order
Посещать Visit
После After
Потолок Ceiling
Потом Then
Потребление Consumption
Почему Why
Почта Mail
Почти Nearly
Поэтому So
Появляться Emerge
Право Right
Праздник Holiday
Предлагать Offer
Предложение Sentence
Предплечье Forearm
Предприятие Company
Представлять Represent
Преимущество Advantage
Прекрасный Beautiful
Приблизительно About
Прибыль Profit
Привет Hi
Привлекательный Attractive
Привычка Habit
Приглашение Invitation
Признавать Confess
Принимать Take
Приносить Bring
Принтер Printer
Приобретать Acquire
Приобретение Acquisition
Приходить Come
Причина Reason
Приятный Nice
Проверка Check
Провод Wire
Проводить Conduct
Продвижение Promotion
Происходить Be
Просто Just
Простой Simple
Простыня Sheet
Просыпаться Wake up
Противный Nasty
Прощать Forgive
Прыгать Jump
Прямо Straight
Птица Bird
Пульт Panel
Путешествие Travel
Путь Path
Пятка Heel
Пятнадцать Fifteen
Пятница Friday
Пять Five
Пятьдесят Fifty
Работа Work
Работать Work
Радость Joy
Развитие Development
Разговаривать Talk
Разговор Conversation
Разрешение Permission
Разрушать Destroy
Раковина Sink
Рано Early
Рассвет Dawn
Рассматривать Consider
Расческа Comb
Ребенок Child
Редко Rarely
Резать Cut
Река River
Реклама Advertising
Ремень Belt
Ресторан Restaurant
Решать Decide
Решающий Crucial
Решение Solution
Решить Solve
Рис Rice
Рисовать Draw
Родитель Parent
Роза Rose
Розетка Socket
Розовый Pink
Рот Mouth
Рубашка Shirt
Рука Hand
Руль Steering wheel
Ручка Handle
Рыба Fish
Рынок Market
Рюкзак Backpack
С With
Салат Salad
Салфетка Napkin
Самолет Plane
Сапог Boot
Сахар Sugar
Свекла Beet
Свет Light
Свинина Pork
Свинья Pig
Свитер Sweater
Связь Link
Сделка Bargain
Сегодня Today
Сейчас Now
Сельдерей Celery
Семнадцать Seventeen
Семь Seven
Семья Family
Сентябрь September
Сердитый Angry
Сердце Heart
Серый Gray
Сестра Sister
Сидеть Sit
Сила Force
Сильный Strong
Синий Blue
Скатерть Tablecloth
Скидка Discount
Сковорода Frying pan
Сколько How many
Скорее Rather
Скоро Soon
Скорость Speed
Слабый Weak
Сладкий Sweet
Следствие Consequence
Слива Plum
Сливки Cream
Словарь Dictionary
Слово Word
Сложный Complex
Слон Elephant
Случай Case
Слушать Listen
Слышать Hear
Смерть Death
Смеяться Laugh
Смотреть Watch
Смысл Meaning
Снег Snow
Снижение Reduction
Снова Again
Собака Dog
Собственный Own
Совершенствовать Improve
Совет Advice
Согласный Willing
Соглашаться Agree
Соглашение Agreement
Сожаление Regret
Сок Juice
Солнце Sun
Соль Salt
Сон Sleep
Соответствовать Match
Соперник Rival
Сосед Neighbor
Соус Sauce
Спальня Bedroom
Спаржа Asparagus
Спасибо Thank you
Спать Sleep
Спина Back
Список List
Спокойствие Calm
Спорить Argue
Способность Ability
Спрашивать Ask
Спрос Demand
Среда Wednesday
Среди Among
Средство Means
Срок Time
Стакан Glass
Становиться Get
Старый Old
Ствол Trunk
Стекло Glass
Стена Wall
Стоимость Value
Стол Table
Столб Column
Стоять Stand
Страна Country
Страница Page
Странный Strange
Страсть Passion
Страх Fear
Строительство Building
Строить Build
Студент Student
Стул Chair
Ступня Foot
Суббота Saturday
Сумка Bag
Суп Soup
Суровый Severe
Счастливо Happily
Счастливый Happy
Счастье Happiness
Счет Account
Считать Assume
Сын Son
Сыр Cheese
Так So
Также Also
Такси Taxi
Там There
Таможня Customs
Тарелка Plate
Твой Your
Творог Cheese
Телевизор Tv
Телефон Phone
Тело Body
Телятина Veal
Теплый Warm
Тест Test
Тетрадь Notebook
Тихий Quiet
Товар Product
Толстый Thick
Только Only
Тонкий Thin
Торт Cake
Тот That
Точно Exactly
Трава Grass
Трамвай Tram
Требовать Demand
Три Three
Тринадцать Thirteen
Тротуар Sidewalk
Труба Pipe
Трусы Briefs
Туалет Wc
Тупой Blunt
Туфля Shoe
Ты You
Тыква Pumpkin
Тяжелый Heavy
Тётя Aunt
Убеждать Persuade
Удаление Removal
Удар Strike
Удивительный Amazing
Удивляться Wonder
Удобный Convenient
Удовольствие Pleasure
Ужасный Horrible
Уже Already
Ужин Dinner
Узкий Narrow
Укроп Dill
Улица Street
Уменьшать Reduce
Умный Intelligent
Умолять Plead
Университет University
Урок Lesson
Ус Mustache
Усилие Effort
Успех Success
Уставать Tire
Утверждать Claim
Утверждение Approval
Утка Duck
Утро Morning
Утюг Iron
Ухо Ear
Уходить Go
Ученик Pupil
Учитель Teacher
Учить Teach
Учиться Learn
Фамилия Last name
Февраль February
Фиолетовый Purple
Фонарь Lantern
Фотоаппарат Camera
Фотография Photo
Фрукт Fruit
Фрукты Fruit
Футболка T-shirt
Хлеб Bread
Ходить Walk
Холодильник Refrigerator
Холодно Coldly
Холодный Cold
Хороший Good
Хорошо Well
Хотеть Want
Хотя Although
Художник Artist
Цвет Color
Цветок Flower
Цель Goal
Цена Price
Ценить Appreciate
Чаевые Tips
Чай Tea
Чайник Kettle
Час Hour
Часто Often
Часы Clock
Чашка Cup
Человек Man
Чемодан Suitcase
Через Through
Черешня Sweet cherry
Черника Blueberries
Черный Black
Чеснок Garlic
Честный Honest
Четверг Thursday
Четыре Four
Четырнадцать Fourteen
Чистый Clean
Читать Read
Что What
Чувствовать Feel
Чудо Miracle
Шапка Cap
Шарф Scarf
Шесть Six
Шея Neck
Широкий Wide
Шкаф Cabinet
Школа School
Шляпа Hat
Шоколад Chocolate
Шорты Shorts
Штаны Pants
Штора Blind
Шумный Noisy
Щека Cheek
Экран Screen
Этаж Floor
Это It
Этот This
Юбка Skirt
Юрист Lawyer
Я I
Яблоко Apple
Ягода Berry
Язык Language
Яйцо Egg
Январь January
Яростный Furious
Ящик Box
Акцент Accent
Аренда Rent
Архитектор Architect
Бабочка Butterfly
Базилик Basil
Баловать Indulge
Банкомат Atm
Бар Bar
Барабан Drum
Бассейн Pool
Батарейка Battery
Башня Tower
Бегемот Behemoth
Бегло Fluently
Бедствие Disaster
Безопасный Safe
Береза Birch
Бесплатно Free
Бесполезный Useless
Бетон Concrete
Библиотека Library
Бизнес Business
Бирюзовый Turquoise
Бить Beat
Блеск Shine
Блузка Blouse
Боб Bean
Бог God
Болеть Ache
Болото Swamp
Болтовня Chatter
Больной Patient
Бордюр Border
Браслет Bracelet
Бритва Razor
Брусника Cowberry
Будущее Future
Булочка Roll
Бумажник Wallet
Бухгалтерия Accounting
Бык Bull
Быстрый Quick
Бюстгальтер Bra
Важный Important
Ваза Vase
Ванна Bath
Ванная Bathroom
Ваш Your
Вводить Enter
Вдохновение Inspiration
Вездесущий Ubiquitous
Веко Eyelid
Великолепный Great
Вентилятор Fan
Верх Top
Ветка Branch
Вешалка Hanger
Вешать Hang
Вещи Things
Взаимный Mutual
Взволнованный Agitated
Взлетать Blast off
Взрыв Explosion
Видимый Apparent
Виски Whiskey
Висок Temple
Вклад Contribution
Вкус Taste
Влажный Wet
Власть Power
Вмешательство Intervention
Внезапно Suddenly
Внезапный Sudden
Вниз Down
Внутренний Internal
Водитель Driver
Водка Vodka
Возмещение Compensation
Возникать Arise
Возражать Object
Война War
Волна Wave
Волноваться Worry
Волос Hair
Ворона Crow
Ворота Gate
Воспитывать Bring up
Восторг Delight
Восторженный Enthusiastic
Впереди Ahead
Вполне Quite
Враг Enemy
Враждебный Hostile
Врач Doctor
Вред Damage
Вредный Harmful
Вспоминать Remember
Вспышка Flash
Встречать Meet
Второй Second
Входить Enter
Выгода Benefit
Выдающийся Outstanding
Вынуждать Force
Выражать Express
Выразительный Expressive
Вырезать Cut
Высота Height
Выставка Exhibition
Выходить Go out
Выяснять Find out
Вялый Sluggish
Газ Gas
Гараж Garage
Гардероб Wardrobe
Гвоздь Nail
Германия Germany
Главный Chief
Глубокий Deep
Глупость Stupidity
Гнев Anger
Голос Vote
Голосовать Vote
Голубь Pigeon
Гордый Proud
Горничная Maid
Горчица Mustard
Горшок Pot
Гостиная Lounge
Гостиница Hotel
Готовить Cook
Грабитель Robber
Гриб Mushroom
Гроза Storm
Гром Thunder
Громко Loudly
Грузовик Truck
Грызть Gnaw
Грязь Dirt
Давно Long ago
Данные Data
Дарить Give
Двигатель Engine
Девяносто Ninety
Действие Action
Дельфин Dolphin
Десерт Dessert
Дефицит Deficit
Деятельность Activities
Дизайн Design
Директор Director
Дневник Diary
Догадываться Guess
Доказательство Proof
Доказывать Prove
Документ Document
Долг Debt
Доля Share
Домкрат Jack
Домой Home
Дополнять Complement
Доставка Delivery
Доставлять Deliver
Достаточный Sufficient
Достоинство Virtue
Достопримечательность Attractions
Доступ Access
Доступность Availability
Доступный Available
Доход Income
Драка Fight
Дружба Friendship
Дружественный Friendly
Дурак Fool
Дуршлаг Colander
Духовка Oven
Дыхание Breath
Дышать Breathe
Единственный Only
Енот Raccoon
Жаба Toad
Жадный Greedy
Жажда Thirst
Жаждущий Hungry
Жара Heat
Жареный Roasted
Жарить Fry
Желать Wish
Женатый Married
Жертва Victim
Жест Gesture
Жестокий Severe
Живой Living
Жилет Vest
Жилье Housing
Жук Beetle
Забавный Funny
Заботиться Care
Забрать Take
Заброшенный Abandoned
Зависть Envy
Завод Plant
Завтракать Breakfast
Загадка Riddle
Задание Job
Задержка Delay
Зажигалка Lighter
